Player1,Player2,Round,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,0,20,39,3,7,5,14,67,5,4,1,0,0,67,42,33,14,12,0,32,20,7,10,8,11,94,7,6,6,0,0
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,0,0,162,3,6,3,6,6,60,68,40,25,8,12,8,12,6,14,0,0,141,6,3,6,3,4
Ricardas Berankis,Alexandr Dolgopolov,1,0,0,3,50,39,50,26,10,3,28,38,1,3,17,31,91,5,5,2,0,0,58,42,42,23,7,4,37,31,5,16,12,12,114,7,7,6,0,0
Jeremy Chardy,Jesse Huta Galung,1,1,3,0,66,46,34,16,9,2,31,27,4,9,12,13,94,6,6,6,0,0,57,41,43,13,9,7,30,33,0,5,14,17,80,2,4,4,0,0
Ivo Karlovic,Ivan Dodig,1,0,0,3,66,55,34,18,25,1,48,27,1,3,24,50,93,6,3,6,0,0,83,68,17,12,8,2,41,7,2,3,24,35,108,7,6,7,0,0
Jan Hajek,Damir Dzumhur,1,0,0,3,73,31,27,6,2,6,2,6,1,2,0,0,55,4,2,1,0,0,53,31,47,19,4,3,4,3,7,12,0,0,95,6,6,6,0,0
Thomaz Bellucci,Julian Reister,1,1,2,1,53,39,47,24,8,6,33,37,4,7,18,22,98,4,6,7,0,0,60,41,40,16,4,9,21,36,4,8,8,19,93,6,3,6,0,0
Jo-Wilfried Tsonga,Filippo Volandri,1,1,3,0,62,37,38,23,15,1,36,25,5,13,12,15,104,7,6,6,0,0,57,35,43,20,2,6,28,39,1,2,20,31,77,5,3,3,0,0
Rhyne Williams,Juan Martin Del Potro,1,0,1,3,57,52,43,25,29,1,55,39,1,2,12,18,107,7,3,4,4,0,64,62,36,23,16,3,46,29,4,8,21,28,122,6,6,6,6,0
Roberto Bautista Agut,Tim Smyczek,1,1,3,0,82,37,18,7,1,1,1,1,8,18,0,0,95,6,6,6,0,0,61,28,39,10,8,5,8,5,1,2,0,0,55,2,1,1,0,0
Robin Haase,Donald Young,1,0,1,3,67,56,33,18,11,6,38,56,1,4,13,15,106,7,6,2,0,0,73,58,27,16,0,5,34,33,2,7,29,40,124,6,7,6,1,0
